@RELATION 'Stamps, without duplicates, with normalization, downsampled to 05 pct, v06'

@ATTRIBUTE 'att1' real
@ATTRIBUTE 'att2' real
@ATTRIBUTE 'att3' real
@ATTRIBUTE 'att4' real
@ATTRIBUTE 'att5' real
@ATTRIBUTE 'att6' real
@ATTRIBUTE 'att7' real
@ATTRIBUTE 'att8' real
@ATTRIBUTE 'att9' real
@ATTRIBUTE 'id' real
@ATTRIBUTE 'outlier' {'no','yes'}

@DATA
0.055131,0.49187222745964454,0.031358,0.222233,0.507031,0.004841,0.998375,0.12321227168966908,0.984391,32.0,'no'
0.050512,0.49187222745964454,0.029074,0.192086,0.476147,0.010827,0.988046,0.01511744390503611,0.582047,33.0,'no'
0.10949,0.024627966292849666,0.032463,0.183698,0.3688,0.088299,0.861722,0.021247084042620264,0.533991,34.0,'no'
0.074926,0.6868392895356302,0.029039,0.229894,0.600619,0.008541,0.997771,0.09994465810618638,0.831582,35.0,'no'
0.033087,0.23121902128963975,0.023656,0.180263,0.467511,0.009956,0.986932,0.022011662828761373,0.649324,36.0,'no'
0.078541,0.992872221675988,0.006181,0.078527,0.328725,0.010667,0.973596,0.04191172717747335,0.625119,37.0,'no'
0.041372,0.7933927507648886,0.025926,0.195758,0.557475,0.00822,0.99771,0.060630897589475236,0.793068,38.0,'no'
0.029283,0.49187222745964454,0.046107,0.261537,0.532188,0.010706,0.992272,0.020015151469662536,0.657359,39.0,'no'
0.025914,0.49187222745964454,0.014756,0.145551,0.423204,0.01334,0.988346,0.02131113252732318,0.628573,40.0,'no'
0.035172,0.49187222745964454,0.232136,0.556786,0.685619,0.005374,0.99885,0.2162847275387468,0.968084,41.0,'no'
0.047562,0.49187222745964454,0.365856,0.512397,0.528434,0.013755,0.986727,0.01342416209070266,0.573255,42.0,'no'
0.033021,0.49187222745964454,0.280589,0.469827,0.47808,0.016311,0.962484,0.030910399172173333,0.544174,43.0,'no'
0.059034,0.14575161508608975,0.025432,0.211695,0.561254,0.010272,0.996058,0.0723527710476831,0.746971,44.0,'no'
0.12453,0.49187222745964454,0.03802,0.230967,0.460932,0.007942,0.994403,0.027873099936652043,0.706946,45.0,'no'
0.104566,0.49187222745964454,0.02708,0.224832,0.737294,0.025758,0.957048,0.020617607528899375,0.499365,46.0,'no'
0.099405,0.49187222745964454,0.037046,0.211547,0.41389,0.011855,0.966572,0.04467281732271329,0.647288,47.0,'no'
0.058272,0.5443751048287748,0.031347,0.229502,0.559074,0.031302,0.980386,0.007795901497433558,0.299214,48.0,'no'
0.072751,0.49187222745964454,0.442735,0.512665,0.546384,0.104959,0.655413,0.058379193049138196,0.164605,49.0,'no'
0.048841,0.8005008646566533,0.049443,0.282454,0.505609,0.02937,0.975125,0.010702101490828555,0.328321,50.0,'no'
0.04431,0.8147668318864554,0.059504,0.323276,0.61394,0.017501,0.990312,0.02638997721275005,0.541862,51.0,'no'
0.054903,0.5491003522246836,0.03814,0.253819,0.543233,0.031572,0.969934,0.010774156036119342,0.330363,52.0,'no'
0.089743,0.8147506376481339,0.02184,0.193346,0.553198,0.010459,0.996139,0.058298131685686067,0.749333,53.0,'no'
0.030756,1.0,0.020946,0.172374,0.507866,0.010472,0.989551,0.02525912115471412,0.659914,54.0,'no'
0.066358,0.49187222745964454,0.018897,0.138929,0.294125,0.009525,0.971951,0.05273492033469336,0.690438,55.0,'no'
